,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,label
0,2020-01-02,sh.600519,1128.0000,1145.0600,1116.0000,1130.0000,1183.0000,14809916,16696837095.0000,3,1.178900,1,-4.480100,0,0
1,2020-01-03,sh.600519,1117.0000,1117.0000,1076.9000,1078.5600,1130.0000,13031878,14266380596.0000,3,1.037400,1,-4.552200,0,1
2,2020-01-06,sh.600519,1070.8600,1092.9000,1067.3000,1077.9900,1078.5600,6341478,6853917601.0000,3,0.504800,1,-0.052900,0,0
3,2020-01-07,sh.600519,1077.5000,1099.0000,1076.4000,1094.5300,1077.9900,4785359,5220697068.0000,3,0.380900,1,1.534300,0,0
4,2020-01-08,sh.600519,1085.0500,1095.5000,1082.5800,1088.1400,1094.5300,2500825,2720371915.0000,3,0.199100,1,-0.583800,0,0
5,2020-01-09,sh.600519,1094.0000,1105.3900,1090.0000,1102.7000,1088.1400,3740587,4110949814.0000,3,0.297800,1,1.338100,0,0
6,2020-01-10,sh.600519,1109.0000,1115.9900,1102.5000,1112.5000,1102.7000,3597587,3993457118.0000,3,0.286400,1,0.888700,0,-1
7,2020-01-13,sh.600519,1112.5000,1129.2000,1112.0000,1124.2700,1112.5000,3851575,4325687959.0000,3,0.306600,1,1.058000,0,0
8,2020-01-14,sh.600519,1124.2000,1124.8900,1103.0000,1107.4000,1124.2700,3514465,3916300790.0000,3,0.279800,1,-1.500500,0,0
9,2020-01-15,sh.600519,1109.0100,1121.6000,1105.0000,1112.1300,1107.4000,2602911,2895603674.0000,3,0.207200,1,0.427100,0,0
10,2020-01-16,sh.600519,1118.8700,1118.8700,1102.5800,1107.0000,1112.1300,2319165,2571593141.0000,3,0.184600,1,-0.461300,0,0
11,2020-01-17,sh.600519,1110.0000,1112.7800,1101.0100,1107.5000,1107.0000,2347275,2599645144.0000,3,0.186900,1,0.045200,0,0
12,2020-01-20,sh.600519,1111.8600,1111.8600,1082.0000,1091.0000,1107.5000,3539130,3858246844.0000,3,0.281700,1,-1.489800,0,0
13,2020-01-21,sh.600519,1081.0000,1087.0000,1072.3000,1075.3000,1091.0000,3287405,3542441308.0000,3,0.261700,1,-1.439000,0,0
14,2020-01-22,sh.600519,1070.0000,1084.0000,1055.3800,1075.5100,1075.3000,3620004,3875275065.0000,3,0.288200,1,0.019500,0,0
15,2020-01-23,sh.600519,1076.0000,1076.0000,1037.0000,1052.8000,1075.5100,5346843,5638945742.0000,3,0.425600,1,-2.111600,0,0
16,2020-02-03,sh.600519,985.0000,1010.6800,980.0000,1003.9200,1052.8000,12344288,12314991759.0000,3,0.982700,1,-4.642900,0,1
17,2020-02-04,sh.600519,1015.0000,1057.0000,1011.0100,1038.0100,1003.9200,6262418,6490469043.0000,3,0.498500,1,3.395700,0,0
18,2020-02-05,sh.600519,1050.0000,1054.0000,1033.0300,1049.9900,1038.0100,4741824,4956355235.0000,3,0.377500,1,1.154100,0,0
19,2020-02-06,sh.600519,1059.4300,1075.0000,1052.0200,1071.0000,1049.9900,4717121,5011246407.0000,3,0.375500,1,2.001000,0,0
20,2020-02-07,sh.600519,1070.0100,1077.0000,1061.0200,1076.0000,1071.0000,3127871,3348894576.0000,3,0.249000,1,0.466900,0,0
21,2020-02-10,sh.600519,1062.0000,1074.6000,1057.2000,1066.4900,1076.0000,3053342,3251908506.0000,3,0.243100,1,-0.883800,0,0
22,2020-02-11,sh.600519,1063.0000,1099.6800,1062.8000,1098.0000,1066.4900,4791793,5222918915.0000,3,0.381500,1,2.954600,0,-1
23,2020-02-12,sh.600519,1089.0000,1098.7900,1085.8800,1097.2700,1098.0000,2812543,3072293973.0000,3,0.223900,1,-0.066500,0,0
24,2020-02-13,sh.600519,1098.0000,1113.8900,1088.0100,1091.0000,1097.2700,3035736,3335277425.0000,3,0.241700,1,-0.571400,0,0
25,2020-02-14,sh.600519,1090.4500,1093.5100,1083.1100,1088.0000,1091.0000,2328760,2534568401.0000,3,0.185400,1,-0.275000,0,0
26,2020-02-17,sh.600519,1082.5000,1096.1900,1082.4000,1093.8200,1088.0000,2702822,2946182657.0000,3,0.215200,1,0.534900,0,0
27,2020-02-18,sh.600519,1090.0100,1096.8800,1083.0000,1084.0000,1093.8200,2666496,2897729692.0000,3,0.212300,1,-0.897800,0,0
28,2020-02-19,sh.600519,1085.0000,1101.5000,1078.0000,1096.5000,1084.0000,3705147,4052365602.0000,3,0.294900,1,1.153100,0,0
29,2020-02-20,sh.600519,1096.7000,1124.0000,1095.4100,1118.0000,1096.5000,4680262,5220660940.0000,3,0.372600,1,1.960800,0,0
30,2020-02-21,sh.600519,1111.4600,1123.5400,1110.0100,1112.8800,1118.0000,2894008,3225337160.0000,3,0.230400,1,-0.458000,0,0
31,2020-02-24,sh.600519,1105.5000,1110.0000,1085.5000,1087.1800,1112.8800,3865036,4221857466.0000,3,0.307700,1,-2.309300,0,0
32,2020-02-25,sh.600519,1078.0000,1082.0900,1067.8800,1074.8100,1087.1800,3838562,4127432130.0000,3,0.305600,1,-1.137800,0,1
33,2020-02-26,sh.600519,1062.0000,1084.0000,1055.0000,1073.7000,1074.8100,4356097,4663278433.0000,3,0.346800,1,-0.103300,0,0
34,2020-02-27,sh.600519,1076.0000,1094.9900,1076.0000,1087.3900,1073.7000,3449829,3758783810.0000,3,0.274600,1,1.275000,0,0
35,2020-02-28,sh.600519,1070.3000,1082.0000,1049.9700,1057.0000,1087.3900,4994657,5307929213.0000,3,0.397600,1,-2.794800,0,0
36,2020-03-02,sh.600519,1050.1100,1096.5500,1050.0100,1086.0100,1057.0000,4766304,5154329159.0000,3,0.379400,1,2.744600,0,0
37,2020-03-03,sh.600519,1098.0000,1118.8800,1098.0000,1113.0000,1086.0100,5025015,5585227657.0000,3,0.400000,1,2.485200,0,0
38,2020-03-04,sh.600519,1125.0000,1139.0000,1116.2400,1128.9200,1113.0000,5379299,6080149243.0000,3,0.428200,1,1.430400,0,0
39,2020-03-05,sh.600519,1136.3100,1174.9900,1130.5600,1171.0000,1128.9200,6242645,7210485104.0000,3,0.496900,1,3.727500,0,-1
40,2020-03-06,sh.600519,1163.0000,1176.0000,1151.9800,1155.5000,1171.0000,3064100,3553622358.0000,3,0.243900,1,-1.323700,0,0
41,2020-03-09,sh.600519,1135.0000,1135.0000,1111.3100,1114.0100,1155.5000,4340409,4865288500.0000,3,0.345500,1,-3.590700,0,0
42,2020-03-10,sh.600519,1113.0000,1168.0000,1113.0000,1156.0000,1114.0100,5806293,6635936156.0000,3,0.462200,1,3.769300,0,0
43,2020-03-11,sh.600519,1155.5000,1169.5800,1141.0000,1158.5200,1156.0000,3554757,4124607952.0000,3,0.283000,1,0.218000,0,0
44,2020-03-12,sh.600519,1141.2200,1153.0000,1125.1000,1138.5000,1158.5200,3663063,4172606105.0000,3,0.291600,1,-1.728100,0,0
45,2020-03-13,sh.600519,1090.0000,1128.9800,1080.0000,1112.0300,1138.5000,7588531,8348496480.0000,3,0.604100,1,-2.325000,0,0
46,2020-03-16,sh.600519,1103.9800,1107.9500,1062.0000,1067.0000,1112.0300,5123254,5548946745.0000,3,0.407800,1,-4.049400,0,0
47,2020-03-17,sh.600519,1055.0000,1078.0000,1011.1200,1045.1000,1067.0000,7935912,8277472787.0000,3,0.631700,1,-2.052500,0,0
48,2020-03-18,sh.600519,1040.0000,1060.0000,1007.9900,1007.9900,1045.1000,7345988,7582762547.0000,3,0.584800,1,-3.550900,0,1
49,2020-03-19,sh.600519,993.9900,1015.0000,960.1000,996.0000,1007.9900,10226507,10075880470.0000,3,0.814100,1,-1.189500,0,0
50,2020-03-20,sh.600519,1011.0000,1043.0000,1011.0000,1035.2800,996.0000,6013919,6169094444.0000,3,0.478700,1,3.943800,0,0
51,2020-03-23,sh.600519,1000.0000,1035.2800,991.5200,1019.0000,1035.2800,4847210,4918121944.0000,3,0.385900,1,-1.572500,0,0
52,2020-03-24,sh.600519,1043.0000,1058.8800,1035.0000,1056.0000,1019.0000,4665096,4900364144.0000,3,0.371400,1,3.631000,0,0
53,2020-03-25,sh.600519,1087.9800,1091.3600,1074.2000,1080.1000,1056.0000,3704866,4015061222.0000,3,0.294900,1,2.282200,0,0
54,2020-03-26,sh.600519,1073.3300,1091.2000,1062.0000,1064.9200,1080.1000,3004856,3231754298.0000,3,0.239200,1,-1.405400,0,0
55,2020-03-27,sh.600519,1085.0000,1092.0000,1075.0100,1075.5000,1064.9200,3626112,3931759353.0000,3,0.288700,1,0.993500,0,0
56,2020-03-30,sh.600519,1060.2500,1077.0000,1057.0000,1072.0000,1075.5000,3068741,3279823025.0000,3,0.244300,1,-0.325400,0,0
57,2020-03-31,sh.600519,1082.0000,1115.0000,1081.8000,1111.0000,1072.0000,4798437,5293170703.0000,3,0.382000,1,3.638100,0,0
58,2020-04-01,sh.600519,1117.0000,1129.0000,1103.0000,1103.0000,1111.0000,3320535,3700184247.0000,3,0.264300,1,-0.720100,0,0
59,2020-04-02,sh.600519,1104.0000,1145.0000,1103.8800,1145.0000,1103.0000,4520561,5095167594.0000,3,0.359900,1,3.807800,0,0
60,2020-04-03,sh.600519,1139.0300,1147.9600,1131.9800,1139.7900,1145.0000,2761761,3148421866.0000,3,0.219900,1,-0.455000,0,0
61,2020-04-07,sh.600519,1161.9500,1166.5000,1148.8900,1159.9500,1139.7900,4348800,5041525481.0000,3,0.346200,1,1.768700,0,0
62,2020-04-08,sh.600519,1152.0000,1166.3100,1152.0000,1159.7600,1159.9500,2422442,2809422100.0000,3,0.192800,1,-0.016400,0,0
63,2020-04-09,sh.600519,1166.0000,1169.0000,1147.9600,1158.5000,1159.7600,2281697,2640230492.0000,3,0.181600,1,-0.108600,0,0
64,2020-04-10,sh.600519,1157.8800,1181.5000,1153.5000,1165.0000,1158.5000,2780434,3252600672.0000,3,0.221300,1,0.561100,0,0
65,2020-04-13,sh.600519,1165.0000,1169.9800,1148.5000,1162.3000,1165.0000,1598147,1854563731.0000,3,0.127200,1,-0.231800,0,0
66,2020-04-14,sh.600519,1176.0000,1191.5500,1166.0000,1185.1000,1162.3000,3679955,4340858665.0000,3,0.292900,1,1.961600,0,0
67,2020-04-15,sh.600519,1192.0000,1203.9900,1187.1000,1189.6000,1185.1000,2933229,3501318260.0000,3,0.233500,1,0.379700,0,0
68,2020-04-16,sh.600519,1192.9700,1197.1000,1184.1000,1197.1000,1189.6000,2172774,2588431844.0000,3,0.173000,1,0.630500,0,0
69,2020-04-17,sh.600519,1210.0000,1234.5600,1205.0100,1226.0000,1197.1000,3824569,4676618151.0000,3,0.304500,1,2.414200,0,0
70,2020-04-20,sh.600519,1221.0000,1231.5000,1216.8000,1227.3000,1226.0000,2423864,2963483323.0000,3,0.193000,1,0.106000,0,0
71,2020-04-21,sh.600519,1221.0200,1223.9900,1193.0000,1200.0000,1227.3000,2922422,3517018487.0000,3,0.232600,1,-2.224400,0,0
72,2020-04-22,sh.600519,1206.0000,1249.5000,1202.2200,1244.5000,1200.0000,4403473,5430377598.0000,3,0.350500,1,3.708300,0,0
73,2020-04-23,sh.600519,1250.0000,1265.6800,1247.7700,1252.2600,1244.5000,2689851,3377042463.0000,3,0.214100,1,0.623500,0,0
74,2020-04-24,sh.600519,1248.0000,1259.8900,1235.1800,1250.5600,1252.2600,1912240,2390444036.0000,3,0.152200,1,-0.135800,0,0
75,2020-04-27,sh.600519,1257.0000,1278.1700,1250.9600,1276.0000,1250.5600,2590391,3284513346.0000,3,0.206200,1,2.034300,0,0
76,2020-04-28,sh.600519,1285.3100,1299.9400,1271.8800,1279.1300,1276.0000,3466190,4458549425.0000,3,0.275900,1,0.245300,0,0
77,2020-04-29,sh.600519,1277.8000,1288.1000,1258.0000,1274.9000,1279.1300,2344406,2976724957.0000,3,0.186600,1,-0.330700,0,0
78,2020-04-30,sh.600519,1271.0000,1285.0100,1258.8800,1265.7000,1274.9000,2466087,3134408881.0000,3,0.196300,1,-0.721600,0,0
79,2020-05-06,sh.600519,1251.0000,1300.0000,1250.0000,1300.0000,1265.7000,3583481,4598589768.0000,3,0.285300,1,2.710000,0,0
80,2020-05-07,sh.600519,1299.4000,1314.9900,1293.0000,1312.0000,1300.0000,2793474,3647628296.0000,3,0.222400,1,0.923100,0,0
81,2020-05-08,sh.600519,1317.0000,1338.0000,1308.5100,1314.6100,1312.0000,2907868,3839218026.0000,3,0.231500,1,0.198900,0,0
82,2020-05-11,sh.600519,1320.0000,1335.0000,1313.6700,1323.0100,1314.6100,2367119,3135990964.0000,3,0.188400,1,0.639000,0,0
83,2020-05-12,sh.600519,1318.0000,1334.9900,1316.0000,1333.0000,1323.0100,1972181,2621824685.0000,3,0.157000,1,0.755100,0,0
84,2020-05-13,sh.600519,1333.0000,1337.9900,1322.8800,1335.9500,1333.0000,2201431,2931464950.0000,3,0.175200,1,0.221300,0,0
85,2020-05-14,sh.600519,1330.0000,1334.8800,1325.1100,1326.5900,1335.9500,1857492,2467976357.0000,3,0.147900,1,-0.700600,0,0
86,2020-05-15,sh.600519,1329.0000,1333.5000,1301.8800,1313.0000,1326.5900,2639808,3469736812.0000,3,0.210100,1,-1.024400,0,0
87,2020-05-18,sh.600519,1306.0000,1351.5000,1305.1300,1346.2100,1313.0000,3436211,4587989708.0000,3,0.273500,1,2.529300,0,0
88,2020-05-19,sh.600519,1364.0000,1364.0000,1338.0000,1346.1100,1346.2100,2478746,3342210487.0000,3,0.197300,1,-0.007400,0,0
89,2020-05-20,sh.600519,1346.1100,1359.1800,1336.8100,1351.0000,1346.1100,2118340,2859455106.0000,3,0.168600,1,0.363300,0,0
90,2020-05-21,sh.600519,1355.0000,1371.9600,1352.8600,1366.1000,1351.0000,2305158,3147105462.0000,3,0.183500,1,1.117700,0,0
91,2020-05-22,sh.600519,1366.0000,1366.1000,1322.8800,1328.2000,1366.1000,3442746,4608696074.0000,3,0.274100,1,-2.774300,0,0
92,2020-05-25,sh.600519,1330.0000,1366.5800,1321.0000,1362.9000,1328.2000,3156100,4260387678.0000,3,0.251200,1,2.612600,0,0
93,2020-05-26,sh.600519,1369.8800,1369.9500,1355.0000,1358.0000,1362.9000,2247019,3056188321.0000,3,0.178900,1,-0.359500,0,0
94,2020-05-27,sh.600519,1359.0000,1360.0000,1333.0000,1338.0000,1358.0000,2677741,3596654307.0000,3,0.213200,1,-1.472800,0,0
95,2020-05-28,sh.600519,1337.9700,1346.9400,1321.1300,1344.0000,1338.0000,2648591,3536546893.0000,3,0.210800,1,0.448400,0,0
96,2020-05-29,sh.600519,1332.1000,1369.9800,1332.1000,1366.6000,1344.0000,3044435,4144247222.0000,3,0.242400,1,1.681500,0,0
97,2020-06-01,sh.600519,1381.0000,1420.1000,1381.0000,1419.5000,1366.6000,3547976,4986178912.0000,3,0.282400,1,3.870900,0,0
98,2020-06-02,sh.600519,1416.0100,1427.9000,1406.6600,1410.7100,1419.5000,2596010,3679210598.0000,3,0.206700,1,-0.619200,0,0
99,2020-06-03,sh.600519,1415.0000,1417.5000,1395.7700,1399.3000,1410.7100,2355736,3308382799.0000,3,0.187500,1,-0.808800,0,0
100,2020-06-04,sh.600519,1396.0000,1411.0000,1396.0000,1407.9900,1399.3000,1803741,2534459742.0000,3,0.143600,1,0.621000,0,0
101,2020-06-05,sh.600519,1405.2500,1428.8800,1401.0800,1425.0000,1407.9900,1834706,2597524609.0000,3,0.146100,1,1.208100,0,-1
102,2020-06-08,sh.600519,1425.0000,1435.0000,1402.0100,1406.1000,1425.0000,2930045,4145298455.0000,3,0.233200,1,-1.326300,0,0
103,2020-06-09,sh.600519,1408.0000,1425.0000,1400.6800,1416.5500,1406.1000,2261191,3199849660.0000,3,0.180000,1,0.743200,0,0
104,2020-06-10,sh.600519,1425.0000,1433.3300,1417.0000,1423.6600,1416.5500,2270074,3234843851.0000,3,0.180700,1,0.501900,0,0
105,2020-06-11,sh.600519,1411.0100,1417.9900,1396.9900,1400.4600,1423.6600,3071171,4314846228.0000,3,0.244500,1,-1.629600,0,0
106,2020-06-12,sh.600519,1387.1700,1416.3700,1383.3100,1416.3700,1400.4600,2842742,3992323389.0000,3,0.226300,1,1.136100,0,0
107,2020-06-15,sh.600519,1402.0000,1411.6000,1381.0000,1383.0000,1416.3700,3461541,4819512189.0000,3,0.275600,1,-2.356000,0,1
108,2020-06-16,sh.600519,1398.5000,1414.0000,1393.1300,1403.8800,1383.0000,2920664,4099718932.0000,3,0.232500,1,1.509800,0,0
109,2020-06-17,sh.600519,1411.8600,1411.9000,1395.0200,1405.0000,1403.8800,1945307,2730097120.0000,3,0.154900,1,0.079800,0,0
110,2020-06-18,sh.600519,1404.9000,1413.2000,1400.1000,1413.0000,1405.0000,2101041,2956800081.0000,3,0.167300,1,0.569400,0,0
111,2020-06-19,sh.600519,1420.0000,1445.2000,1415.1000,1439.8400,1413.0000,3895833,5603232657.0000,3,0.310100,1,1.899500,0,0
112,2020-06-22,sh.600519,1435.1000,1443.8900,1433.2000,1439.0000,1439.8400,2324700,3343536637.0000,3,0.185100,1,-0.058300,0,0
113,2020-06-23,sh.600519,1435.0000,1482.0000,1433.5200,1474.5000,1439.0000,3393426,4963194685.0000,3,0.270100,1,2.467000,0,0
114,2020-06-24,sh.600519,1463.6000,1465.7100,1445.0000,1460.0100,1457.4800,2513899,3663537115.0000,3,0.200100,1,0.173600,0,0
115,2020-06-29,sh.600519,1448.0000,1466.0000,1437.0100,1463.1700,1460.0100,2808061,4064048236.0000,3,0.223500,1,0.216400,0,0
116,2020-06-30,sh.600519,1463.1200,1468.9800,1455.1200,1462.8800,1463.1700,2244614,3281641199.0000,3,0.178700,1,-0.019800,0,0
117,2020-07-01,sh.600519,1468.0000,1506.1000,1464.0200,1494.2700,1462.8800,3868249,5759640251.0000,3,0.307900,1,2.145800,0,0
118,2020-07-02,sh.600519,1499.0000,1550.9000,1495.0000,1544.0000,1494.2700,4588372,7014289615.0000,3,0.365300,1,3.328000,0,0
119,2020-07-03,sh.600519,1550.0000,1552.5000,1516.8800,1541.7900,1544.0000,3512581,5395637032.0000,3,0.279600,1,-0.143100,0,0
120,2020-07-06,sh.600519,1538.0000,1616.0000,1531.8100,1600.0000,1541.7900,5182196,8228068998.0000,3,0.412500,1,3.775500,0,0
121,2020-07-07,sh.600519,1603.0900,1744.8200,1601.0000,1688.0000,1600.0000,6666393,11219852098.0000,3,0.530700,1,5.500000,0,0
122,2020-07-08,sh.600519,1680.0000,1719.0000,1660.0000,1681.3400,1688.0000,5316998,8963189092.0000,3,0.423300,1,-0.394600,0,0
123,2020-07-09,sh.600519,1691.0000,1712.0000,1682.0000,1706.0000,1681.3400,3503324,5951732803.0000,3,0.278900,1,1.466700,0,0
124,2020-07-10,sh.600519,1689.0000,1736.6000,1688.9400,1713.8500,1706.0000,3710044,6352507468.0000,3,0.295300,1,0.460100,0,-1
125,2020-07-13,sh.600519,1714.6800,1787.0000,1714.6800,1781.9900,1713.8500,6072716,10679460274.0000,3,0.483400,1,3.975800,0,0
126,2020-07-14,sh.600519,1781.9900,1782.0300,1748.4000,1762.0000,1781.9900,4609351,8135834910.0000,3,0.366900,1,-1.121800,0,0
127,2020-07-15,sh.600519,1744.8800,1782.6000,1744.7100,1752.5300,1762.0000,4071294,7176560649.0000,3,0.324100,1,-0.537500,0,0
128,2020-07-16,sh.600519,1729.9100,1729.9100,1600.0000,1614.0000,1752.5300,10224219,16901373196.0000,3,0.813900,1,-7.904600,0,0
129,2020-07-17,sh.600519,1620.0000,1672.5900,1620.0000,1648.0500,1614.0000,6590206,10863420089.0000,3,0.524600,1,2.109700,0,0
130,2020-07-20,sh.600519,1652.5000,1663.9900,1588.8800,1636.9600,1648.0500,4528033,7363822989.0000,3,0.360500,1,-0.672900,0,0
131,2020-07-21,sh.600519,1646.6400,1702.8000,1630.9900,1668.0000,1636.9600,4196950,7026353150.9800,3,0.334100,1,1.896200,0,0
132,2020-07-22,sh.600519,1658.0000,1710.0000,1658.0000,1678.0800,1668.0000,3920121,6637265371.7100,3,0.312100,1,0.604300,0,0
133,2020-07-23,sh.600519,1672.0000,1691.0000,1650.0000,1676.0000,1678.0800,3432052,5739050333.4200,3,0.273200,1,-0.124000,0,0
134,2020-07-24,sh.600519,1654.8500,1666.0000,1585.0000,1595.3000,1676.0000,7875201,12705941887.2200,3,0.626900,1,-4.815000,0,1
135,2020-07-27,sh.600519,1616.0100,1629.8000,1600.0000,1622.5500,1595.3000,3878817,6279664443.7100,3,0.308800,1,1.708100,0,0
136,2020-07-28,sh.600519,1630.0000,1680.0000,1630.0000,1670.0000,1622.5500,5491152,9133721867.3100,3,0.437100,1,2.924400,0,0
137,2020-07-29,sh.600519,1690.0000,1690.0000,1633.0000,1672.0000,1670.0000,5074843,8411789966.5000,3,0.404000,1,0.119800,0,0
138,2020-07-30,sh.600519,1671.2000,1700.5900,1670.5000,1680.0000,1672.0000,3837304,6486855474.9900,3,0.305500,1,0.478500,0,-1
139,2020-07-31,sh.600519,1685.0000,1705.0000,1646.0000,1678.1800,1680.0000,4068474,6846747330.2200,3,0.323900,1,-0.108300,0,0
140,2020-08-03,sh.600519,1686.8800,1696.5800,1660.0000,1668.0000,1678.1800,3466114,5790041421.9300,3,0.275900,1,-0.606600,0,0
141,2020-08-04,sh.600519,1675.0000,1682.9900,1660.0000,1669.9900,1668.0000,3194051,5337185768.0100,3,0.254300,1,0.119300,0,0
142,2020-08-05,sh.600519,1662.0900,1673.0900,1643.3100,1668.0000,1669.9900,2552169,4236612469.3400,3,0.203200,1,-0.119200,0,0
143,2020-08-06,sh.600519,1670.0000,1674.0300,1630.0000,1637.9600,1668.0000,3264878,5372942644.9600,3,0.259900,1,-1.801000,0,0
144,2020-08-07,sh.600519,1644.7700,1649.6700,1598.5000,1631.0000,1637.9600,3424205,5560065753.2700,3,0.272600,1,-0.424900,0,1
145,2020-08-10,sh.600519,1627.9700,1644.9600,1608.1100,1633.9900,1631.0000,2362354,3857721122.3800,3,0.188100,1,0.183300,0,0
146,2020-08-11,sh.600519,1640.0000,1666.4300,1640.0000,1642.5100,1633.9900,3581818,5936904875.6400,3,0.285100,1,0.521400,0,0
147,2020-08-12,sh.600519,1633.0000,1641.0000,1605.2500,1626.9500,1642.5100,2793392,4529267492.9800,3,0.222400,1,-0.947300,0,0
148,2020-08-13,sh.600519,1630.0000,1638.8800,1609.0000,1635.0000,1626.9500,2054134,3341652185.8900,3,0.163500,1,0.494800,0,0
149,2020-08-14,sh.600519,1639.9000,1665.7000,1631.0000,1661.0000,1635.0000,3765318,6230475427.2400,3,0.299700,1,1.590200,0,0
150,2020-08-17,sh.600519,1674.0000,1704.3500,1670.0000,1690.0000,1661.0000,4357201,7363610867.3300,3,0.346900,1,1.745900,0,-1
151,2020-08-18,sh.600519,1697.3800,1720.0000,1691.0000,1705.0000,1690.0000,3042281,5192751797.1100,3,0.242200,1,0.887600,0,0
152,2020-08-19,sh.600519,1700.0000,1717.0000,1682.9900,1687.0000,1705.0000,2691498,4578143762.2000,3,0.214300,1,-1.055700,0,0
153,2020-08-20,sh.600519,1674.0000,1679.0000,1656.0000,1664.0000,1687.0000,2238233,3727183935.4500,3,0.178200,1,-1.363400,0,0
154,2020-08-21,sh.600519,1673.0000,1698.0000,1671.0000,1676.0000,1664.0000,2508241,4217048420.2400,3,0.199700,1,0.721200,0,0
155,2020-08-24,sh.600519,1700.0000,1708.0000,1691.0100,1696.3500,1676.0000,3093344,5260286523.4600,3,0.246200,1,1.214200,0,0
156,2020-08-25,sh.600519,1704.8000,1746.7800,1698.6300,1727.0000,1696.3500,4187249,7227309774.1400,3,0.333300,1,1.806800,0,0
157,2020-08-26,sh.600519,1734.0000,1745.0000,1715.0200,1727.0000,1727.0000,2621573,4530374186.4700,3,0.208700,1,0.000000,0,0
158,2020-08-27,sh.600519,1731.9900,1733.9800,1705.0000,1731.0000,1727.0000,2263553,3896759446.1700,3,0.180200,1,0.231600,0,0
159,2020-08-28,sh.600519,1731.0000,1764.0000,1721.5000,1757.0000,1731.0000,4229962,7389242302.4900,3,0.336700,1,1.502000,0,0
160,2020-08-31,sh.600519,1770.5800,1816.0000,1770.5800,1786.5000,1757.0000,4781036,8608932570.4100,3,0.380600,1,1.679000,0,0
161,2020-09-01,sh.600519,1792.0000,1802.0000,1775.0100,1801.9800,1786.5000,3163992,5661594315.1600,3,0.251900,1,0.866500,0,0
162,2020-09-02,sh.600519,1825.0000,1828.0000,1770.0000,1795.0000,1801.9800,3200929,5746351923.0100,3,0.254800,1,-0.387400,0,0
163,2020-09-03,sh.600519,1795.0000,1812.0000,1779.7000,1793.0000,1795.0000,3043735,5471333880.1000,3,0.242300,1,-0.111400,0,0
164,2020-09-04,sh.600519,1766.0000,1776.9900,1746.0000,1770.0000,1793.0000,3085796,5433479408.0000,3,0.245600,1,-1.282800,0,0
165,2020-09-07,sh.600519,1760.0000,1777.9900,1703.9700,1723.5000,1770.0000,3111202,5446354619.0300,3,0.247700,1,-2.627100,0,0
166,2020-09-08,sh.600519,1732.0000,1737.8000,1677.0700,1711.4000,1723.5000,3447238,5865962723.7500,3,0.274400,1,-0.702100,0,1
167,2020-09-09,sh.600519,1699.6700,1711.0000,1680.0400,1688.0000,1711.4000,2596355,4401806095.1400,3,0.206700,1,-1.367300,0,0
168,2020-09-10,sh.600519,1703.7400,1720.0000,1700.0000,1705.8000,1688.0000,2477833,4236694401.5200,3,0.197200,1,1.054500,0,0
169,2020-09-11,sh.600519,1688.0000,1736.0000,1688.0000,1733.0000,1705.8000,3108800,5339883407.7600,3,0.247500,1,1.594600,0,0
